date,stock,open,high,low,close,volume,positive_sent,negative_sent,neutral_sent,sent_score,has_disclosure,sma_20,ema_12,ema_26,macd,signal_line,macd_histogram,rsi,next_close,price_change_pct,target,target_encoded
2023-06-14,SCC,28.25,28.4,28.1,28.2,536100,0.0,0.0,1.0,0.0,0,28.4275,28.26377481553682,28.36785646286928,-0.1040816473324532,-0.1158566147045343,0.011774967372081,42.85714285714281,28.2,0.0,FLAT,1.0
2023-06-15,SCC,28.2,28.3,28.1,28.2,484400,0.0,0.0,1.0,0.0,0,28.4225,28.253963305454235,28.355422650804883,-0.1014593453506478,-0.112977160833757,0.0115178154831092,44.44444444444443,27.6,-2.127659574468078,DOWN,0.0
2023-06-16,SCC,28.3,28.3,27.6,27.6,1205800,0.0,0.0,1.0,0.0,0,28.365,28.153353566153584,28.299465417411927,-0.1461118512583432,-0.1196040989186742,-0.0265077523396689,40.00000000000003,28.1,1.8115942028985508,UP,2.0
2023-06-19,SCC,27.75,28.15,27.75,28.1,495000,0.0,0.0,1.0,0.0,0,28.32,28.14514532520688,28.284690201307345,-0.1395448761004658,-0.1235922543550326,-0.0159526217454332,32.07547169811319,28.85,2.669039145907473,UP,2.0
2023-06-20,SCC,28.25,28.9,28.05,28.85,2155300,0.0,0.0,1.0,0.0,0,28.31,28.25358450594428,28.3265650012105,-0.072980495266222,-0.1134699025372704,0.0404894072710484,60.37735849056607,28.0,-2.946273830155984,DOWN,0.0
2023-06-21,SCC,28.85,28.85,28.0,28.0,601800,0.0,0.0,1.0,0.0,0,28.2625,28.21457150502977,28.30237500112084,-0.0878034960910589,-0.1083366212480281,0.0205331251569692,50.0,28.0,0.0,FLAT,1.0
2023-06-22,SCC,28.1,28.15,27.9,28.0,946100,0.0,0.0,1.0,0.0,0,28.232500000000005,28.18156050425596,28.279976852889657,-0.0984163486336946,-0.1063525667251615,0.0079362180914668,46.66666666666667,28.0,0.0,FLAT,1.0
2023-06-23,SCC,28.1,28.1,27.95,28.0,332900,0.0,0.0,1.0,0.0,0,28.207500000000003,28.15362811898581,28.259237826749683,-0.1056097077638682,-0.1062039949329028,0.0005942871690346,48.27586206896549,28.0,0.0,FLAT,1.0
2023-06-26,SCC,28.0,28.25,27.95,28.0,447800,0.0,0.0,1.0,0.0,0,28.1975,28.12999302375723,28.240035024768225,-0.1100420010109921,-0.1069715961485207,-0.0030704048624714,46.428571428571445,28.0,0.0,FLAT,1.0
2023-06-27,SCC,28.2,28.2,27.95,28.0,458100,0.0,0.0,1.0,0.0,0,28.145000000000003,28.10999409702535,28.22225465256317,-0.1122605555378157,-0.1080293880263797,-0.004231167511436,46.428571428571445,28.1,0.3571428571428622,FLAT,1.0
2023-06-29,SCC,28.05,28.2,28.05,28.1,630800,0.0,0.0,1.0,0.0,0,28.135,28.10845654363684,28.2131987523733,-0.104742208736468,-0.1073719521683974,0.0026297434319293,48.27586206896556,28.0,-0.3558718861210015,FLAT,1.0
2023-06-30,SCC,28.15,28.2,28.0,28.0,796700,0.0,0.0,1.0,0.0,0,28.135,28.09177092153886,28.1974062521975,-0.1056353306586395,-0.1070246278664458,0.0013892972078063,45.76271186440678,28.4,1.4285714285714235,UP,2.0
2023-07-03,SCC,28.2,28.4,28.1,28.4,448500,0.0,0.0,1.0,0.0,0,28.145,28.13919077976365,28.21241319647917,-0.0732224167155166,-0.10026418563626,0.0270417689207433,52.23880597014924,28.35,-0.176056338028159,FLAT,1.0
2023-07-04,SCC,28.4,28.55,28.25,28.35,338100,0.0,0.0,1.0,0.0,0,28.15750000000001,28.17162296749232,28.22260481155479,-0.0509818440624663,-0.0904077173215012,0.0394258732590349,51.47058823529414,28.2,-0.5291005291005366,FLAT,1.0
2023-07-05,SCC,28.5,28.5,28.15,28.2,210000,0.0,0.0,1.0,0.0,0,28.1575,28.1759886648012,28.22093038106925,-0.0449417162680525,-0.0813145171108115,0.0363728008427589,50.0,28.05,-0.5319148936170163,FLAT,1.0
2023-07-06,SCC,28.3,28.5,28.05,28.05,317700,0.0,0.0,1.0,0.0,0,28.15000000000001,28.15660579329332,28.208268871360417,-0.0516630780670972,-0.0753842293020686,0.0237211512349714,47.94520547945207,27.9,-0.5347593582887776,FLAT,1.0
2023-07-07,SCC,28.15,28.4,27.85,27.9,1382000,0.0,0.0,1.0,0.0,0,28.135,28.1171279789405,28.185434140148534,-0.0683061612080351,-0.0739686156832619,0.0056624544752268,54.68749999999995,27.8,-0.3584229390680927,FLAT,1.0
2023-07-10,SCC,28.1,28.1,27.8,27.8,727600,0.0,0.0,1.0,0.0,0,28.1125,28.068339059103497,28.15688346310049,-0.0885444039969982,-0.0768837733460092,-0.011660630650989,44.64285714285713,27.8,0.0,FLAT,1.0
2023-07-11,SCC,28.0,28.0,27.7,27.8,848500,0.0,0.0,1.0,0.0,0,28.090000000000003,28.02705612693373,28.13044765101898,-0.1033915240852536,-0.0821853234938581,-0.0212062005913955,24.39024390243901,27.7,-0.3597122302158324,FLAT,1.0
2023-07-12,SCC,27.85,28.0,27.7,27.7,813900,0.0,0.0,1.0,0.0,0,28.0625,27.97673979971315,28.098562639832387,-0.1218228401192362,-0.0901128268189337,-0.0317100133003025,38.46153846153844,27.8,0.3610108303249149,FLAT,1.0
2023-07-13,SCC,27.7,28.0,27.7,27.8,551300,0.0,0.0,1.0,0.0,0,28.0425,27.94954906129574,28.07644688873369,-0.1268978274379506,-0.0974698269427371,-0.0294280004952135,42.8571428571429,27.85,0.1798561151079162,FLAT,1.0
2023-07-14,SCC,28.0,28.0,27.85,27.85,335700,0.0,0.0,1.0,0.0,0,28.025,27.934233821096395,28.059673045123787,-0.1254392240273922,-0.1030637063596681,-0.022375517667724,44.827586206896605,27.9,0.179533213644514,FLAT,1.0
2023-07-17,SCC,27.85,28.05,27.85,27.9,427000,0.0,0.0,1.0,0.0,0,28.040000000000003,27.928967079389256,28.047845412151656,-0.1188783327623994,-0.1062266316402144,-0.012651701122185,46.666666666666615,27.95,0.1792114695340527,FLAT,1.0
2023-07-18,SCC,27.95,28.1,27.9,27.95,166300,0.0,0.0,1.0,0.0,0,28.0325,27.93220291332937,28.040597603844123,-0.1083946905147534,-0.1066602434151222,-0.0017344470996312,48.38709677419352,27.9,-0.1788908765652977,FLAT,1.0
2023-07-19,SCC,28.0,28.05,27.9,27.9,510000,0.0,0.0,1.0,0.0,0,27.985,27.927248618971003,28.030182966522336,-0.1029343475513329,-0.1059150642423644,0.0029807166910314,43.33333333333324,28.0,0.3584229390681054,FLAT,1.0
2023-07-20,SCC,27.95,28.35,27.95,28.0,915200,0.0,0.0,1.0,0.0,0,27.985,27.93844113912931,28.027947191224385,-0.089506052095075,-0.1026332618129065,0.0131272097178315,50.0,29.0,3.571428571428571,UP,2.0
2023-07-21,SCC,28.5,29.0,28.3,29.0,1932300,0.0,0.0,1.0,0.0,0,28.035,28.101757886955568,28.099951102985543,0.001806783970025,-0.0817452526563202,0.0835520366263452,64.2857142857143,29.6,2.0689655172413843,UP,2.0
2023-07-24,SCC,29.0,29.75,28.95,29.6,2186400,0.0,0.0,1.0,0.0,0,28.115,28.33225667357779,28.211065836097724,0.1211908374800643,-0.0411580346290433,0.1623488721091076,73.5849056603773,29.85,0.8445945945945945,FLAT,1.0
2023-07-25,SCC,29.6,30.7,29.5,29.85,1714200,0.0,0.0,1.0,0.0,0,28.2075,28.565755646873512,28.33246836675715,0.233287280116361,0.0137310283200375,0.2195562517963234,80.0,29.5,-1.1725293132328356,DOWN,0.0
2023-07-26,SCC,29.9,29.9,29.35,29.5,2479000,0.0,0.0,1.0,0.0,0,28.2825,28.70948554735451,28.418952191441804,0.2905333559127072,0.0690914938385715,0.2214418620741357,74.57627118644061,29.45,-0.1694915254237312,FLAT,1.0
2023-07-27,SCC,29.45,29.9,29.4,29.45,768200,0.0,0.0,1.0,0.0,0,28.35,28.823410847761508,28.49532610318685,0.3280847445746531,0.1208901439857878,0.2071946005888652,77.19298245614031,29.7,0.8488964346349746,FLAT,1.0
2023-07-28,SCC,29.4,29.85,29.35,29.7,993000,0.0,0.0,1.0,0.0,0,28.434999999999995,28.95827071733666,28.58456120665449,0.3737095106821648,0.1714540173250632,0.2022554933571016,81.66666666666657,28.85,-2.861952861952855,DOWN,0.0
2023-07-31,SCC,29.8,30.35,28.85,28.85,2801600,0.0,0.0,1.0,0.0,0,28.4575,28.94161368390025,28.6042233394949,0.3373903444053496,0.2046412827411205,0.1327490616642291,63.636363636363626,29.55,2.4263431542460983,UP,2.0
2023-08-01,SCC,29.3,29.6,29.0,29.55,787000,0.0,0.0,1.0,0.0,0,28.517499999999995,29.035211578684827,28.674280869902688,0.3609307087821385,0.2358991679493241,0.1250315408328143,70.78651685393258,29.5,-0.1692047377326589,FLAT,1.0
2023-08-02,SCC,29.8,29.95,29.35,29.5,766600,0.0,0.0,1.0,0.0,0,28.5825,29.10671748965639,28.73544524990989,0.3712722397464958,0.2629737823087584,0.1082984574377373,69.3181818181818,29.65,0.5084745762711816,FLAT,1.0
2023-08-03,SCC,29.55,29.9,29.5,29.65,646000,0.0,0.0,1.0,0.0,0,28.6625,29.19029941432464,28.803190046212865,0.3871093681117727,0.2878008994693613,0.0993084686424114,69.99999999999997,29.2,-1.5177065767284967,DOWN,0.0
2023-08-04,SCC,29.7,30.35,29.2,29.2,1166200,0.0,0.0,1.0,0.0,0,28.7275,29.191791812120847,28.832583376123026,0.3592084359978216,0.3020824067750534,0.0571260292227682,63.26530612244898,29.75,1.8835616438356189,UP,2.0
2023-08-07,SCC,29.35,29.9,29.35,29.75,1616300,0.0,0.0,1.0,0.0,0,28.825,29.277669994871484,28.90054016307688,0.3771298317946083,0.3170918917789644,0.0600379400156439,66.66666666666666,30.0,0.8403361344537815,FLAT,1.0
2023-08-08,SCC,30.0,30.05,29.6,30.0,1043000,0.007,0.975,0.018,-0.968,1,28.934999999999995,29.38879768796818,28.98198163247859,0.406816055489589,0.3350367245210893,0.0717793309684996,68.75,29.9,-0.3333333333333381,FLAT,1.0
2023-08-09,SCC,30.0,30.0,29.4,29.9,1660300,0.0,0.0,1.0,0.0,0,29.045,29.467444197511533,29.04998299303573,0.4174612044758028,0.351521620512032,0.0659395839637707,66.9642857142857,29.9,0.0,FLAT,1.0
2023-08-10,SCC,29.9,29.9,29.7,29.9,649300,0.0,0.0,1.0,0.0,0,29.15,29.533991244048217,29.112947215773826,0.421044028274391,0.3654261020645039,0.0556179262098871,59.78260869565215,30.0,0.3344481605351218,FLAT,1.0
2023-08-11,SCC,29.9,30.0,29.7,30.0,2164800,0.0,0.0,1.0,0.0,0,29.257500000000004,29.60568489881003,29.178654829420207,0.4270300693898221,0.3777468955295675,0.0492831738602546,54.87804878048779,31.0,3.333333333333333,UP,2.0
2023-08-14,SCC,30.05,31.15,30.05,31.0,8338900,0.0,0.0,1.0,0.0,0,29.4125,29.82019491437772,29.3135692865002,0.5066256278775256,0.4035226419991592,0.1031029858783664,61.85567010309276,30.5,-1.6129032258064515,DOWN,0.0
2023-08-15,SCC,30.9,31.4,30.5,30.5,4826500,0.0,0.0,1.0,0.0,0,29.54,29.92478031216576,29.40145304305573,0.5233272691100268,0.4274835674213327,0.095843701688694,60.0,32.0,4.918032786885246,UP,2.0
2023-08-16,SCC,30.5,32.0,30.5,32.0,3423800,0.0,0.0,1.0,0.0,0,29.745000000000005,30.244044879524875,29.593938002829383,0.6501068766954923,0.4720082292761647,0.1780986474193275,69.76744186046513,32.0,0.0,FLAT,1.0
2023-08-17,SCC,32.0,32.25,31.8,32.0,2731200,0.0,0.0,1.0,0.0,0,29.945000000000004,30.514191821136432,29.77216481743461,0.7420270037018177,0.5260119841612954,0.2160150195405223,68.5483870967742,32.0,0.0,FLAT,1.0
2023-08-18,SCC,32.0,32.2,31.75,32.0,1563800,0.0,0.0,1.0,0.0,0,30.09500000000001,30.74277769480775,29.93718964577279,0.8055880490349594,0.5819271971360281,0.2236608518989312,79.43925233644858,31.45,-1.7187500000000022,DOWN,0.0
2023-08-22,SCC,31.9,31.9,31.4,31.45,1088800,0.0,0.0,1.0,0.0,0,30.1875,30.85158112637579,30.049249672011843,0.8023314543639479,0.6260080485816122,0.1763234057823357,68.26923076923075,31.7,0.7949125596184419,FLAT,1.0
2023-08-23,SCC,31.45,31.8,31.45,31.7,2387900,0.0,0.0,1.0,0.0,0,30.28,30.982107106933363,30.17152747408504,0.8105796328483237,0.6629223654349545,0.1476572674133691,70.37037037037035,31.85,0.4731861198738238,FLAT,1.0
2023-08-24,SCC,31.75,32.0,31.7,31.85,817000,0.0,0.0,1.0,0.0,0,30.3975,31.11562909048208,30.29585877230096,0.8197703181811136,0.6942919559841865,0.1254783621969271,70.37037037037038,31.8,-0.1569858712715877,FLAT,1.0
2023-08-25,SCC,31.85,31.95,31.75,31.8,1161900,0.0,0.0,1.0,0.0,0,30.515,31.2209169227156,30.407276641019408,0.8136402816961947,0.7181616211265881,0.0954786605696066,75.99999999999997,32.3,1.5723270440251462,UP,2.0
2023-08-29,SCC,31.95,32.45,31.95,32.3,1204800,0.0,0.0,1.0,0.0,0,30.645,31.38692970383628,30.547478371314263,0.8394513325220139,0.7424195634056733,0.0970317691163406,75.75757575757572,32.5,0.6191950464396374,FLAT,1.0
2023-08-30,SCC,32.3,32.75,32.3,32.5,1688000,0.0,0.0,1.0,0.0,0,30.8275,31.558171287861462,30.692109603068765,0.866061684792701,0.7671479876830789,0.098913697109622,75.51020408163262,32.0,-1.5384615384615383,DOWN,0.0
2023-08-31,SCC,32.7,32.7,31.95,32.0,2022300,0.0,0.0,1.0,0.0,0,30.95,31.626144935882778,30.78899037321182,0.8371545626709569,0.7811493026806545,0.0560052599903023,69.81132075471697,31.1,-2.812499999999996,DOWN,0.0
2023-09-01,SCC,32.0,32.3,30.95,31.1,1774700,0.0,0.0,1.0,0.0,0,31.03,31.545199561131582,30.81202812334428,0.733171437787302,0.7715537297019841,-0.0383822919146821,59.67741935483873,31.45,1.1254019292604434,UP,2.0
2023-09-04,SCC,31.1,31.6,31.1,31.45,1317200,0.0,0.0,1.0,0.0,0,31.12,31.530553474803646,30.85928529939285,0.6712681754107948,0.7514966188437463,-0.0802284434329515,61.240310077519375,32.35,2.861685214626398,UP,2.0
2023-09-05,SCC,31.55,32.35,31.55,32.35,1029000,0.0,0.0,1.0,0.0,0,31.2775,31.656622170987703,30.96970861054893,0.686913560438768,0.7385800071627506,-0.0516664467239826,60.629921259842526,32.25,-0.3091190108191697,FLAT,1.0
2023-09-06,SCC,32.35,32.35,32.1,32.25,1203400,0.0,0.0,1.0,0.0,0,31.4025,31.747911067758828,31.06454500976753,0.6833660579912966,0.7275372173284598,-0.0441711593371632,64.70588235294116,32.2,-0.1550387596899136,FLAT,1.0
2023-09-07,SCC,32.2,32.25,32.1,32.2,547200,0.0,0.0,1.0,0.0,0,31.5125,31.817463211180545,31.14865278682179,0.6688104243587567,0.7157918587345192,-0.0469814343757625,52.22222222222224,32.0,-0.6211180124223691,FLAT,1.0
2023-09-08,SCC,32.2,32.2,31.9,32.0,527400,0.0,0.0,1.0,0.0,0,31.6175,31.845545794075846,31.211715543353503,0.6338302507223403,0.6993995371320835,-0.0655692864097431,50.0,33.65,5.156249999999996,UP,2.0
2023-09-11,SCC,32.0,33.75,31.95,33.65,5610800,0.0,0.0,1.0,0.0,0,31.805,32.12315413344879,31.392329206808803,0.7308249266399898,0.7056846150336648,0.025140311606325,62.99212598425196,34.1,1.3372956909361151,UP,2.0
2023-09-12,SCC,33.75,34.6,33.75,34.1,5342700,0.0,0.0,1.0,0.0,0,32.01,32.42728426676437,31.592897413711853,0.8343868530525143,0.7314250626374347,0.1029617904150795,71.2,34.45,1.026392961876837,UP,2.0
2023-09-13,SCC,34.1,34.55,34.1,34.45,2585400,0.0,0.0,1.0,0.0,0,32.182500000000005,32.73847130264677,31.804534642325788,0.9339366603209848,0.7719273821741447,0.1620092781468399,71.65354330708662,34.4,-0.1451378809869499,FLAT,1.0
2023-09-14,SCC,34.45,34.5,34.25,34.4,2273700,0.0,0.0,1.0,0.0,0,32.377500000000005,32.99409110223958,31.99679133548684,0.9972997667527396,0.8170018590898637,0.1802979076628758,70.39999999999995,34.5,0.2906976744186088,FLAT,1.0
2023-09-15,SCC,34.4,35.1,34.4,34.5,6685100,0.0,0.0,1.0,0.0,0,32.5025,33.22576939420272,32.18221419952485,1.0435551946778716,0.8623125262074652,0.1812426684704063,71.42857142857139,35.0,1.4492753623188406,UP,2.0
2023-09-18,SCC,34.55,35.1,34.55,35.0,3667600,0.0,0.0,1.0,0.0,0,32.6525,33.49872794894076,32.39093907363412,1.107788875306639,0.9114077960273,0.1963810792793389,71.42857142857142,34.8,-0.5714285714285796,FLAT,1.0
2023-09-19,SCC,34.9,34.95,34.25,34.8,2949100,0.0,0.0,1.0,0.0,0,32.7925,33.69892364910372,32.56938803114271,1.129535617961011,0.9550333604140424,0.1745022575469687,68.2539682539682,35.25,1.2931034482758703,UP,2.0
2023-09-20,SCC,34.8,35.5,34.75,35.25,3177600,0.0,0.0,1.0,0.0,0,32.9825,33.93755078001084,32.7679518806877,1.169598899323141,0.997946468195862,0.1716524311272789,75.99999999999994,35.0,-0.7092198581560284,FLAT,1.0
2023-09-21,SCC,35.1,35.55,35.0,35.0,1788200,0.0,0.0,1.0,0.0,0,33.147499999999994,34.101004506163015,32.933288778414536,1.1677157277484795,1.0319003201063857,0.1358154076420938,84.82142857142847,35.05,0.1428571428571347,FLAT,1.0
2023-09-22,SCC,35.0,35.1,34.8,35.05,612900,0.0,0.0,1.0,0.0,0,33.3075,34.24700381290717,33.090082202235685,1.156921610671482,1.056904578219405,0.1000170324520768,83.96226415094328,35.0,-0.1426533523537722,FLAT,1.0
2023-09-25,SCC,35.05,35.4,34.85,35.0,1251000,0.0,0.0,1.0,0.0,0,33.4675,34.36284938015222,33.231557594662675,1.1312917854895446,1.0717820196734331,0.0595097658161114,79.77528089887632,35.0,0.0,FLAT,1.0
2023-09-26,SCC,35.0,35.35,34.8,35.0,1635200,0.0,0.0,1.0,0.0,0,33.602500000000006,34.46087255243649,33.362553328391364,1.0983192240451274,1.077089460547772,0.0212297634973552,81.6091954022988,35.4,1.1428571428571388,UP,2.0
2023-09-27,SCC,35.0,35.45,34.8,35.4,1985500,0.0,0.0,1.0,0.0,0,33.7475,34.605353698215495,33.51347530406608,1.0918783941494183,1.0800472472681013,0.011831146881317,84.04255319148925,35.45,0.1412429378531194,FLAT,1.0
2023-09-28,SCC,35.3,35.7,35.1,35.45,1881500,0.0,0.0,1.0,0.0,0,33.92,34.73529928310542,33.65692157783896,1.0783777052664618,1.0797133388677735,-0.0013356336013117,87.91208791208786,34.9,-1.5514809590973322,DOWN,0.0
2023-09-29,SCC,35.3,35.45,34.9,34.9,1322300,0.0,0.0,1.0,0.0,0,34.11,34.760637854935354,33.749001460962,1.0116363939733546,1.0660979498888898,-0.0544615559155352,68.11594202898542,35.6,2.005730659025796,UP,2.0
2023-10-02,SCC,35.0,35.65,35.0,35.6,1701200,0.0,0.0,1.0,0.0,0,34.317499999999995,34.88977049263761,33.886112463853706,1.003658028783903,1.0536099656678926,-0.0499519368839895,70.27027027027017,35.65,0.1404494382022392,FLAT,1.0
